Home,Road,line,linesag,linepz,lineARGH,linekamb,lineavg,linematt,linepig,linens,linecpa,linemass,linemore,linebemiss,linecpar,linepyth,lineelo,lineeff,linehank,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linestr,lineself,linefly,linegrn,linecoff,linensr,lineesp,lineadler,linetsr,linelog,linevia,linebenson,linemed,lineglenn,linedudley,lineash,lineburl,linestd,vscore,hscore,week,difference
New Orleans,Seattle,-2.5,2.64,1.4,3,-1.8,1.02,4.29,-6,-11,0.62,2.21,2.25,,2.12,0.73,1.85,2.71,-1,1.2,,2,-3.83,2,,,-2,2.64,2.64,,,-1,,,,,,-2,2,2.64,,3.85,3.45,0,2,-6,2,1,,3.4523508631,21,7,1,-14
Philadelphia,N.Y. Giants,9,12.15,6.08,7,7.78,10.65,14.4,15,30,10.52,13.7,2.25,,10.72,13.7,17.37,2.9,11,20.93,,22.67,17.14,16,,,10,12.15,12.15,,,9,,,,,,42,12.5,18.11,,23.52,10.72,12,12,-1,14,5,,8.3886855618,17,31,1,14
Pittsburgh,Oakland,4,2.99,10.74,4,4.99,6.1,5.14,3,24,6.22,4.34,2.25,,6.12,6.95,9.55,6.51,6,13.67,,16,12.59,9,,,4,2.99,2.99,,,3.5,,,,,,9,9.3,7.3,,6.52,5.15,1,5.15,17,11,4,,4.4983680396,21,24,1,3
San Francisco,Atlanta,-3.5,6.1,14.03,4,9.06,4.08,0.32,-2,-5,1.52,6.13,2.25,,1.92,10.65,4.1,0.64,1,4.31,,1.57,13.82,2,,,0,6.1,6.1,,,-4,,,,,,-29,0.2,5.61,,-4.64,6.36,5,4,2,7,2,,8.0196473906,21,19,1,-2
St. Louis,Arizona,10.5,16.68,17.58,8,15.52,13.72,9.22,17,-1,16.12,16.01,2.25,,16.02,16.92,11.58,6.27,13,16.07,,8,26.03,16,,,13,16.68,16.68,,,9.5,,,,,,-5,8,16.87,,15.43,11.5,21,16,20,13,8,,6.3078947335,10,17,1,7
Washington,Tampa Bay,2.5,-4.71,-7.7,1,-5.21,-1.68,-0.12,4,1,-3.38,-5.53,2.25,,-3.18,-3.41,-1.29,1.67,-1,0.23,,2.57,-11.78,3,,,1,-4.71,-4.71,,,2.5,,,,,,-9,1.6,-0.14,,-3.14,-1.42,-4,-1.42,-2,-3,-1,,3.5118478746,10,16,1,6
Arizona,New England,-8,-6.1,-6.2,-3,-5.26,-9.37,,-15,-24,-8.52,-11.57,0.82,,-10.95,-7.16,-11.87,-6.6,-10,-12.07,,-17.78,-3.24,-16,,,-8,-5.36,-7.23,-17.11,,-8,-14.48,,,,,-52.5,-5.5,-4.27,,-16.61,-13.62,-16,-8.52,-12,-12,-2,-18,10.308125401,23,12,2,-11
Atlanta,St. Louis,1.5,3.67,0.41,2,-3.57,1,,-1,11,1.72,1.1,1.52,,0.66,-3.38,5.55,0.09,1,2.23,,9.23,22.16,1,,,3,5.77,1.82,0.67,,2,9.51,,,,,41.5,0.6,-0.88,,7.46,1.64,-3,1,-1,-2,1,-1,8.7531806228,17,34,2,17
Baltimore,Pittsburgh,4,1.17,-7.31,4,5.28,0.68,,8,-3.5,0.05,1.54,0.05,,-0.71,-13.05,3.6,-15.77,4,4.99,,0.1,5.66,6,,,6,-0.63,2.83,5.24,,4,-0.25,,,,,14,2.1,-8.88,,8.3,4.22,5,2,2,-1,4,1,6.6505906352,13,30,2,17
Cincinnati,Miami,4.5,-0.94,3.59,1,0.2,-0.04,,2,-18,-4.06,-4.26,2.64,,-4.03,9.91,-1.47,12.15,2,1.17,,-5.33,-0.63,-5,,,4,0.54,-2.6,-3.79,,3,-0.2,,,,,-42.5,2.9,3.83,,5.75,0.34,-6,0.25,-15,-1,2,0.25,10.366999264,13,16,2,3
Dallas,Cleveland,4.5,0.69,-15.98,3,3.15,-0.98,,8,-16.5,-0.68,-1.7,-1.36,,1.7,-20.77,-0.83,-12.72,2,2.11,,-3.06,-2.91,5,,,6,-0.16,1.57,3.23,,3.5,-13.5,,,,,-25,-0.5,-11.52,,-0.61,3.01,-1,1,3,1,3,10,9.2008610085,12,19,2,7
Detroit,Houston,3,9.37,14.19,5,3.68,7.15,,8,1,3.51,7.08,3.77,,7.97,11.81,7.99,6.94,5,11.77,,15.39,24.29,6,,,3,11.29,6.94,6.47,,3.5,12.22,,,,,27,7.7,5.92,,14.26,4.27,4,7,9,7,8,7,5.1893754336,16,28,2,12
Green Bay,Chicago,8.5,13.36,15.85,6,10.84,13.32,,15,38,13.09,15.39,4.16,,12.95,15.01,18.26,9.83,10,17.19,,13,23.03,18,,,8,14.61,12.43,14.82,,8,27.26,,,,,40,11.2,7,,14.44,11.6,16,13.09,17,12,8,22,8.718757349,21,10,2,-11
Jacksonville,Denver,-3,1.35,-1.56,3,1.5,-0.33,,-3,1,-3.86,-0.31,1.22,,-2.64,1.7,1.49,-3.94,-3,8.64,,-7.23,7.63,1,,,0.25,2.53,0.37,1.04,,-3,1.11,,,,,9,6.9,0.71,,8.06,-0.82,1,0.71,-5,-5,4,-9,3.0135125636,6,7,2,1
Kansas City,Carolina,7,5.2,6.92,3,8.47,3.74,,6,-5,3.23,5.78,2.25,,4.75,5.48,-0.02,8.25,5,1.21,,6,1.06,3,,,6,4.78,5.82,1.22,,5,-1.43,,,,,-21,2.2,1.96,,-3.46,5.04,2,4.75,8,-9,4,3,5.916375396,28,17,2,-11
N.Y. Giants,Washington,-3,1.57,-16.69,1,-2.5,-2.89,,-2,-5,-5.19,-0.97,-0.46,,-5.41,-13.27,-3.52,-1.39,-2,-3.25,,-5.84,-12.17,-2,,,-2,0.21,2.84,-2.58,,-3,-3.87,,,,,-19.5,-3.4,-6.2,,-5.2,-1.25,-1,-2,-1,-2,1,-6,5.4122027314,14,20,2,6
New Orleans,San Francisco,7,2.67,-5.53,5,-1.14,1.46,,5,8.5,2.82,0.49,0.75,,5.55,-7.55,1.54,-8.01,5,8.2,,11.55,2.93,5,,,7,3.56,2.07,5.26,,7,-0.53,,,,,14.5,9,-3.16,,6.87,2.63,-1,2.07,-2,-2,5,2,5.2099538928,27,30,2,3
Oakland,Buffalo,3.5,6.52,-2.21,3,2.65,3.38,,4,6,4.66,5.52,2.25,,2.19,5.12,0.83,8.66,2,1.01,,3,-7.92,2,,,4,6.29,6.99,1.44,,3.5,3.27,,,,,-14,2.1,1.7,,6.93,2.31,6,3,-2,1,4,7,4.2962216084,10,13,2,3
Philadelphia,Minnesota,3,5.88,-0.34,4,1.81,3.72,,6,5,-0.11,7.88,2.25,,3.07,1.86,3.99,1.77,5,4.16,,12.49,3.16,6,,,5,4.94,7.02,8.9,,3,-1.14,,,,,35,3.1,0.59,,9.69,5.1,11,3.99,1,1,4,1,6.8817941791,16,27,2,11
San Diego,N.Y. Jets,-3,0.6,3.61,1,-2.5,-0.88,,-4,-5.5,-6.69,-1.63,2.25,,-4.42,3.69,0.05,1.69,-1,1.7,,-1.39,-10.55,-4,,,-3,1.59,-0.73,-2.95,,-3,1.56,,,,,0,0.6,1.3,,-0.5,-1.66,-4,-1,-1,-2,2,-4,2.8244320963,34,28,2,-6
Tampa Bay,Seattle,-2.5,1.44,-14.83,3,2.1,-2.53,,-3,-30,-4.2,2.13,-0.46,,-2.82,-16.68,-5.12,-7.23,-5,-0.87,,-3.68,-7.98,-5,,,1,-0.91,4.12,-1.07,,-3,-13.02,,,,,-19,-2.9,-8.17,,0.07,1.33,-1,-1,3,-1,3,3,8.2493527085,10,6,2,-4
Tennessee,Indianapolis,-1.5,6.66,13.46,6,4.13,5.37,,0,5,3.03,6.75,4.07,,4.82,16.28,5.47,8.08,3,5.29,,-1.23,2.74,1,,,1,7.96,4.89,3.66,,2.5,6.55,,,,,9.5,4.9,7.96,,1.31,5.2,3,5,5,5,6,1,3.6610208593,31,17,2,-14
Atlanta,Arizona,10,11.89,15.84,8,1.23,12.1,,13,11.33,11.96,13.54,6.76,,14.74,20.96,13.63,14.06,13,13.37,,21.8,-11.05,14,,,10,15.89,9.34,13.48,,9.5,14.57,,,,,45.52,7.9,13.61,,8.73,12.41,13,13,16,5,7,16,7.784066176,3,6,3,3
Cincinnati,Baltimore,-2.5,1.21,2.58,1,0.23,-0.43,,-3,-8.14,3.65,-1.84,1.58,,4.75,1.1,2.33,2.18,-1,-6.47,,3,17.06,-5,,,-1,-0.15,2.62,-0.41,,-3,2.28,,,,,-13.2,-1.8,0.34,,8.15,-0.41,-8,0.23,-9,-4,-2,0.25,3.9029419413,23,9,3,-14
Denver,San Diego,10,5.91,8.46,6,6.74,7.79,,14,5.33,9.53,10.79,3.24,,5,7.58,9.14,6.49,8,0.56,,3.4,-9,11,,,10,8.92,2.94,8.77,,10.5,10.78,,,,,1.67,5.7,0.41,,7.86,7.95,9,8,17,-5,4,18,3.2072987133,13,23,3,10
Detroit,Philadelphia,-5.5,-3.94,-0.97,0.25,-0.93,-3.57,,-9,0.25,-7.59,-6.33,0.86,,-0.48,0.75,-1.31,0.92,-3,-9.48,,-13.4,2.67,-8,,,-3,-2.67,-5.42,-6.01,,-4,-3.82,,,,,4,-2.1,-1.85,,4.89,-6.79,-11,-3,-3,4,-2,-14,3.3420213228,30,13,3,-17
Indianapolis,Green Bay,6.5,7.38,2.61,6,5.87,6.06,,9,6.2,9.36,8.28,4.04,,5.72,7.95,12.13,5.62,5,-0.37,,4.6,-6.73,9,,,7,6.13,9.09,3.37,,5.5,14.07,,,,,14.82,8,2.82,,5.79,5.1,1,6,3,-6,5,7,3.1677294936,31,45,3,14
Kansas City,Houston,7.5,6.87,4.91,7,9.25,8.23,,15,4.98,9.17,10.22,1.79,,5.97,3.16,7.23,4.15,7,14.04,,12.6,19.04,13,,,10,11.07,5.43,11.82,,9.5,8.98,,,,,12.99,7.4,-1.83,,7.56,8.66,11,8.66,13,5,9,18,3.8488642217,24,21,3,-3
Miami,Pittsburgh,0,4.99,0.3,3,4.35,3.29,,5,8,3.47,4.72,1.88,,0.14,0.2,7.12,1.29,3,-10.41,,-5.6,-20.83,6,,,1,-1.35,12.5,5.41,,0,10.25,,,,,31.44,-1.3,-5.99,,4.48,2.86,4,3,6,1,2,7,6.9666520352,13,3,3,-10
Minnesota,Chicago,10,5.29,7.79,5,6.01,5.84,,13,10.38,7.62,4.56,1.18,,3.82,1.81,2.88,0.69,8,15.77,,15.8,6.97,9,,,7,5.04,5.56,8.42,,9.5,3.27,,,,,-1.08,6,1.98,,10.15,8.68,4,5.04,4,5,5,17,3.3417997191,22,27,3,5
N.Y. Giants,Cleveland,3.5,4.96,-4.11,1,-2.44,0.13,,5,-10.61,-2.52,1.31,1.4,,1.88,-7.86,-2.73,0.17,1,-2.9,,1.2,-1.39,0.25,,,1,4.23,5.93,-4.97,,3,-5.01,,,,,-22.61,-2.6,1.7,,4.98,3.74,-5,1,1,2,0.25,4,6.1369829101,10,27,3,17
Oakland,Tampa Bay,3.5,-0.1,6.55,2,1.68,1.3,,0.25,11.51,0.22,0.67,3.4,,3.98,11.7,2.01,5.65,5,2.82,,1,-18.13,0.25,,,3,5.29,-7.01,-1.04,,3.5,2.6,,,,,-2.16,1.3,4.75,,8.84,-2.18,0.25,1.3,-9,-3,-1,-2,4.1131144094,20,30,3,10
Seattle,San Francisco,10,8.98,16.1,9,6.07,10.74,,15,20.32,10.35,8.98,5.13,,12.62,17.83,13.29,12.24,13,13.8,,12.8,-1.4,10,,,12,15.32,4.23,11.32,,10.5,14.99,,,,,23.5,15.4,13.03,,9.99,9.23,4,11.32,11,1,6,14,4.5572949762,0,34,3,34
St. Louis,New Orleans,7,5.3,5.13,3,6.17,4.54,,8,-5.51,5.74,4.58,2.75,,2.28,3.04,3.49,2.38,6,7.69,,-1.8,15.15,2,,,3,4.32,7.03,3.53,,6,2.11,,,,,-11.02,3.6,0.22,,8.82,2.96,6,3.6,10,6,2,12,3.9676035004,28,25,3,-3
Tennessee,Jacksonville,6,8.24,1.68,4,4.8,4.48,,7,19.5,4.39,7.36,1.17,,-1.28,-3.58,6.65,1.04,4,-3.15,,-2.4,-14.82,6,,,5,1.98,15.5,7.54,,6.5,7.53,,,,,18.49,1.1,-6.44,,6.03,5.27,5,5,4,6,5,12,6.0764412616,15,12,3,-3
Washington,Dallas,1.5,4.41,2.11,2,0.14,2.09,,3,3.05,-1.21,4.11,2.2,,-0.8,8.16,0.12,6.56,-1,4.28,,4,23.88,1,,,3,3.22,5.65,0.18,,2,1.1,,,,,8.84,1.1,-0.77,,4.66,3.12,2,2,1,3,1,2,2.7775285842,21,18,3,-3
Arizona,New Orleans,-3.5,-1.46,-5.13,-2,-3.01,-3,,-2,-0.38,-3.18,-3.47,0.69,,-6.65,-4.68,2.32,-2.17,-6,7.22,,6.01,-21.57,-6,-3.5,,-3,-4.68,1.96,-5.31,-18.5,-3.5,2.73,,,,,-18.26,-2.5,-5.22,,-2,-5.62,-4,-3.01,1,4,-3,1,5.0637584197,10,34,4,24
Baltimore,Kansas City,5.5,13.29,14.11,6,5.69,9.86,,6,11.37,11.32,9.58,7.39,,7.4,14.29,15.33,10.91,8,17.58,,20.01,30.76,9,6,,2,17.6,10.74,10.53,30.8,4,12.5,,,,,10.62,11.2,16.57,,2,3.87,8,9.79,10,-3,4,3,5.646077606,27,24,4,-3
Buffalo,New England,-5.5,-6.97,-8.9,-1,0.46,-8.15,,-9,-23.33,-11.82,-5.52,-0.3,,-12.61,-7.87,-11.12,-1.55,-9,4.05,,-10.99,22.19,-11,-6,,-3,-8.22,-5.99,-13.49,-17,-4.5,-8.69,,,,,-45.03,-6.3,-12.07,,-2,-7.28,-12,-8.79,-9,-15,-1,-13,9.0510740615,31,17,4,-14
Carolina,Atlanta,3.5,-4.01,-2.11,1,2.1,1.08,,7,8.13,-2.49,3.4,0.29,,-3.44,-4.35,2.54,-1.6,1,4.21,,6.01,20.6,8,3.5,,4,-9.29,0.62,3.41,-11.6,3.5,6.06,,,,,-7.7,4,-8.6,,-2,7.32,3,1.55,1,9,5,9,5.5959133303,27,10,4,-17
Chicago,Philadelphia,-8.5,-9.35,-10.74,-2,0.3,-6.79,,-10,-7,-7.9,-6.24,-2.51,,-6.31,-6.66,-4.38,-2.58,-7,-14.01,,-22.99,-9.3,-7,-8.5,,-3,-10.38,-8.17,-6.96,-18.2,-8.5,-3.14,,,,,-20.15,-4.5,-14.97,,-2,-5.36,-8,-6.81,-2,-11,-3,-9,4.8582927385,19,9,4,-10
Cleveland,Washington,-3,3.18,-4,2,2.03,2.23,,-2,9.62,3.48,3.39,1.49,,4.96,1.23,5.13,2.52,1,5.31,,1.01,35.27,1,-2,,0.25,4.89,1.57,4.61,4.9,-1.5,5.93,,,,,11.26,3.8,3.65,,2,2.38,6,2.2,1,1,2,-5,3.1584238158,13,17,4,4
Green Bay,N.Y. Giants,7,-9.46,-6.17,1,8.77,2.06,,8,27.25,-1.65,6.22,-1.19,,0.62,-3.8,3.29,-0.71,5,3.55,,1.01,2.21,11,6.5,,9,-10.63,-8.39,13.95,-9.7,6.5,9.21,,,,,28.36,3.6,-10.01,,-2,8.78,15,3.44,5,-2,4,9,10.384812982,14,7,4,-7
Houston,Oakland,-2.5,-2.88,-5.62,-1,0.22,-2.68,,-2,1.87,-4.77,-4.55,-1.19,,-2.97,-4.65,-1.79,-1.68,-2,-8.89,,-9.99,-7.37,1,-2.5,,-1,-4,-2.01,0.11,-8.1,-1,-3.68,,,,,1.24,-0.9,-5.2,,-2,-0.26,-6,-2.01,1,-4,-2,-5,2.4138062612,17,30,4,13
Jacksonville,Indianapolis,-4,-0.86,-1.15,2,0.26,-1.71,,-5,-14.37,-4.57,-2.92,0.03,,-1.83,1.88,-6.9,4.39,-3,4.88,,-6.99,-8.19,-5,-4,,-3,2.59,-4.89,-2.61,6.6,-4,-7.41,,,,,-7.75,2.6,1.3,,-2,-2.26,-2,-2.13,-3,-3,1,-11,4.4986332369,24,17,4,-7
Miami,N.Y. Jets,-6,-7.06,-16.57,-1,2.76,-5.63,,-1,2.46,-8.89,-1.54,-2.85,,-7.47,-11.97,-9.88,-6.41,-5,-7.99,,-11.99,-18.99,2,-6,,-1,-9.11,-4.89,0.09,-37.8,-5,-5.05,,,,,3.21,-4.8,-15.35,,-2,0.59,0.25,-4.85,3,-10,0.25,1,8.5856373866,17,9,4,-8
Pittsburgh,Cincinnati,4,5.98,10.74,4,3.28,6.7,,5,9.25,5.19,10.78,4.69,,5.45,7.26,8.34,5.13,5,11.72,,6.01,-1.52,9,4,,4,5.34,7.35,4.17,10.4,4,5.13,,,,,4.14,7.4,6.36,,2,5.6,14,5.53,16,1,4,7,2.2451761624,17,28,4,11
San Diego,Tennessee,-3,0.53,1.27,0.25,-2.87,-1.73,,-5,-11.75,-4.16,-4.34,1.76,,-5.34,3.33,0.45,2.34,1,-1.36,,0.01,7.49,-5,-3,,-3,1.61,-0.54,-6.83,4.1,-3,-4.75,,,,,-17.62,-2.2,1.71,,2,-4.63,-5,-2.54,-4,2,-3,-8,4.9112095591,17,38,4,21
San Francisco,St. Louis,-3.5,1.6,1.6,0.25,7.21,0.18,,-4,6.49,0.53,3.02,0.82,,0.6,-3.19,5.26,-1,-2,-8.56,,-4.99,-27.74,-1,-2.5,,-1,1.19,2.26,2.95,-4.6,-4,4.03,,,,,6.14,-1.9,-1.52,,-2,-1.18,2,0.39,-2,1,0.25,-6,3.2135485059,24,14,4,-10
Tampa Bay,Denver,-3,0.74,-9.88,-1,2.52,-3.03,,-1,-7.87,-8.15,0.5,-2.59,,-7.43,-11.22,-4.97,-3.79,-5,0.26,,-3.99,6.85,-3,-3,,1,-0.99,2.14,-3.08,-13.6,-3,-5.89,,,,,-11.14,-1.2,-6.78,,-2,1.64,0.25,-2.3,-2,-3,2,-1,4.5896801631,16,13,4,-3
Atlanta,Detroit,7,-3.29,13.53,4,0.61,5.9,2.82,10,21,5.99,8.6,5.98,,1.56,11.42,4.58,8.73,7,15.75,,20.01,14.2,13,7,,7,-3.42,-3.56,10.26,8.1,7,13.68,-3.54,,-7.03,5.93,24,8.4,5.14,,2,7.17,12,6.5,16,-2,4,16,7.0492929457,17,10,5,-7
Dallas,N.Y. Giants,3.5,-0.1,-5.9,0.25,3.79,0.55,-0.85,4,-2.5,0.28,-0.14,0.65,,2.39,-2.77,-1.58,-0.21,1,-0.78,,3.01,12.08,4,3,,5,0.92,-0.97,5.76,-3.8,3.5,-0.79,0.07,,-3.42,-0.33,0.5,1.1,-2.91,,7,4.03,1,0.27,3,-3,3,4,2.7822725233,26,10,5,-16
Denver,Carolina,5.5,8,16.51,4,7.3,7.34,8.62,4,2.25,9.2,9.4,6.29,,6.83,12.28,12.49,8.16,7,12.02,,7.01,17.18,3,5.5,,5,5.24,11.21,2.07,15.3,5.5,6.84,6.23,,8.99,10.32,-6.5,3.2,12.71,,2,1.75,6,6.92,12,-2,3,4,4.6710728876,17,20,5,3
Green Bay,Tennessee,3,8.08,2.27,1,6.44,4.5,6.89,5,4.5,1.52,2.71,2.1,,0.52,4.42,5.83,3.7,2,8.26,,7.01,0.35,5,3,,4,9.32,6.94,3.92,6,3,4,10.44,,12.21,4.66,-11.5,1.1,5.22,,2,2.74,6,4.54,7,-3,-1,7,4.1294865435,48,27,5,-21
Houston,Minnesota,-4.5,-9.91,-1.39,-1,1.44,-4.14,-6.4,-6,5,-1.18,-2.24,0.72,,0.37,-0.22,-6.68,0.52,-3,-4.09,,-6.99,30.7,-5,-4.5,,0.25,-10.88,-9.03,-2.79,-2.8,-3.5,-5.08,-12.07,,-17.83,-0.53,6.5,-2.2,-6.85,,-2.47,-3.75,-6,-2.9,-2,2,-3,-10,5.1601793082,34,28,5,-6
Indianapolis,Oakland,9.5,13.57,13.78,7,7.31,12.48,14.62,16,23,12.65,12.82,6.55,,9.88,8.25,21.07,6.62,7,15.65,,15.01,3.42,18,9.5,,10,14.71,12.82,17.88,12.9,9.5,22.84,13.86,,18.18,10.48,43.5,12.2,13.8,,2,10.49,10,12.82,19,1,6,18,7.2812488779,14,35,5,21
N.Y. Jets,Buffalo,7,6.58,19.47,6,2.48,10.09,10.31,9,10,7.79,9.01,7.09,,11.51,14.06,10.16,10.8,10,4.16,,2.01,-1.92,10,7,,7,13.36,0.46,11.94,21.6,7,10.65,10.5,,6.42,15.12,25.5,8.4,14.51,,2,7.61,10,10,10,17,6,8,5.1982810725,14,16,5,2
New England,Miami,13,23.03,20.53,8,9.47,17.17,21.64,17,20,12.95,16.05,9.28,,13.48,18.35,29.6,11.13,14,32.39,,28.01,32.34,13,13,,15,24.02,22.17,14.5,27.2,13.5,18.27,25.38,,30.98,21.53,56,13.8,25.56,,2,10.65,13,15.53,14,13,5,18,9.4158367145,10,24,5,14
New Orleans,Tampa Bay,3,2.75,1.59,3,-1.66,2.75,6.61,-1,2.5,2.11,-0.29,2,,8.94,3.39,1.59,3.31,5,4.74,,-0.99,9.09,3,3,,4,10.25,-4.55,7.76,15.7,3,-1.12,7.51,,0.07,5.64,14,3.9,4.13,,2,4.04,2,2.88,-4,-2,0.25,-6,4.4452182201,20,17,5,-3
Pittsburgh,Cleveland,6,-4.79,10.59,2,3.45,3.28,0.47,7,17.5,5.3,6.1,4.4,,5.63,5.34,-0.28,4.22,5,4.24,,8.01,12.48,10,6,,6,-4.76,-4.84,6.52,3,6.5,3.72,-5.36,,-9.27,4.89,15,4.2,1.77,,7.83,5.52,8,4.65,6,6,4,5,5.8305872166,23,34,5,11
San Diego,Jacksonville,-3,0.98,8.54,0.25,0.88,1.06,2.06,-2,2,3.18,0.83,2.45,,-0.74,4.95,1.71,3.23,1,3.34,,-0.99,-4.08,-1,-2,,-1,-0.26,2.22,-4.71,-2.2,-3,-0.46,0.42,,1.65,2.06,-4.5,-3.6,2.72,,-2,1.64,0.25,0.99,-1,8,1,1,2.7432232668,21,34,5,13
San Francisco,Arizona,1,-4.7,-3.31,-1,4.06,-2.03,-5.59,1,-12,-3.68,3.51,-1.04,,0.25,-6.12,-6.68,-2.46,-1,-8.52,,-9.99,-14.8,2,0.5,,4,-2.9,-7.13,4.48,-11.5,2,-5.07,-1.68,,-7.29,-3.54,4,-3.1,-8.31,,-2,3.88,3,-2.23,1,-6,2,-2,4.6482236132,28,31,5,3
Seattle,St. Louis,7,8.53,22.1,4,8.57,10.95,9.17,10,26,13.44,8.69,6.08,,11.64,16.18,15.55,15.76,9,10.72,,7.01,20.17,11,7.5,,8,6.75,10.58,13.48,18.7,6.5,18.43,9.94,,12.46,12.94,23,9.9,15.16,,2,6.36,7,10,5,10,5,11,5.3471959642,33,27,5,-6
Washington,Baltimore,0,5.76,0.55,-1,-1.05,0.29,3.03,-2,-16.5,0.26,-0.86,0.33,,-0.02,-1.15,4.4,0.96,-1,-3.41,,-12.99,-4.08,-5,0,,1,5.52,6.07,-6.02,-4.1,1,-2.03,7.04,,9.66,-0.03,-15,-2.9,0.17,,-2,-3.39,-9,-0.03,2,-2,-1,5,5.5822085209,17,10,5,-7
Atlanta,San Diego,5.5,-0.35,1.83,2,-1.81,3.06,4.24,10,0.5,2.22,3.89,2.19,,2.26,5.88,3.26,5.66,3,1.31,,-6.72,-7.67,5,5,,7,-0.25,-0.46,6.44,,6,1.55,2.23,,1.33,2.76,9,1.4,1.27,,-4,5.35,3,2.26,7,-2,1,8,2.8423481937,20,21,6,1
Buffalo,Miami,6.5,6.02,3.96,2,4.42,4.18,6.09,3,6,5.75,4.91,4.45,,3.8,7,13.06,5.12,4,9.11,,14.25,19.85,0.25,6,,8,4.13,7.95,-0.15,,6,5.05,7.31,,8.14,3.88,-2,3.2,2.65,,13.93,1.54,-2,4,1,1,1,3,2.9798935344,13,20,6,7
Chicago,Washington,1,11.76,1.28,3,3.62,5.48,11.48,1,18.25,3.73,6.27,3.94,,3.41,4.11,14.27,3.27,1,15.58,,14.81,10.44,3,1.5,,-2,10.46,13.48,6.79,,-2,9.77,11.75,,13.72,6.26,15,2.8,9.47,,4,5.1,8,3.94,2,-5,1,1,5.1937537144,13,10,6,-3
