Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linemass,linecoff,lineesp,linereister,linetsr,linetsrslots,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linetsrelo,linest,linecovers,lineherald,linewhatif,linewann,linegabe,linedwig,linejwilson,linegametime,linecover81,linecrunch,linensr,linelinx,linecombo,linegirl,linestd,linegrn,week,hscore,rscore
N.Y. Giants,Washington,6.5,8.29,5.65,5,8.94,8.4195555556,7,9,10.62,7.5,7,2.5,10.44,8.07,9.69,10.15,8,6,-4.12,9.05,-8.63,-2.32,12,6.5,,5,8.29,8.29,7.2,,6,9,,,6.91,,5.2,9,,,-7,,6.63,8,13.2,3.8,7,16.83,9.4,,6.06,,12.5,9.1,,4,13.68,7.5,2.5,7.7,4.5,,4.8,13,10.21,10.42,9.95,2.9256343178,,1,23,17
New England,Buffalo,11,14.18,2.43,10,8.58,10.887111111,9,13,12.07,11.25,3,2.5,15.25,11.45,7.22,11.08,6.3,9,7,9.54,7,7.71,16,11,,3,14.18,14.18,12.3,,10,9,,,11.96,,9.9,13,,,11.98,,10.74,10.87,10,5.6,9,17.64,16.2,,9.06,,11,16.2,,10,15.35,12,8.8,8.1,8.5,,10,14,17.9,14.98,11.44,3.8995964956,,1,25,24
New Orleans,Detroit,13.5,10.08,15.09,7,14.39,13.547333333,14,13,18.77,12.45,7,2.5,9.54,13.05,13.25,16.68,13.03,16,7,14.41,7,7,22,13.5,,8,10.08,10.08,14.12,,12,14,,,10.82,,14.4,6,,,11.84,,23.03,13.05,18.9,8.1,12,16.42,24.2,,6.92,,18.5,14.3,,11,21.79,13.5,25.4,15.6,8.5,,15.7,15,21.73,20.25,7.13,4.8587093311,,1,45,27
Oakland,San Diego,-9.5,-8.1,-5.77,-4,-12.13,-7.367777778,-7,-9,-9.56,-9.65,-7,2.5,-5.34,-8.55,-5.61,-5.39,-3.67,-9,-4.36,-3.91,2.37,-4.53,-10,-9.5,,-8,-8.1,-8.1,-5.54,,-7,-14,,,-6.92,,-11.3,-10,,,-12.16,,-17.01,-6.92,-10.7,-1.5,-5,-16.92,-9.6,,-6.73,,-8.5,-8.4,,-5,-9.61,-10,0.4,-6.5,-3,,-8,-6.5,-6.14,-7.85,1.46,3.5078093973,,1,20,24
Pittsburgh,Tennessee,6.5,6.39,3.65,4,5.2,5.4302222222,3,8,2.81,5,3,2.5,7.8,6.05,2.68,2.78,2.41,3,4.28,4.89,9.37,7,7,6.5,,0.01,6.39,6.39,5.86,,5.5,3,,,5.1,,7.5,7,,,5.89,,15.76,6.05,2.7,2.9,7,9.11,10.5,,6.14,,4.5,7.1,,11,6.51,8,10,5.8,5.5,,6,9,5.97,4.39,7.69,2.3656130177,,1,13,10
Seattle,St. Louis,7.5,9.44,6.91,8,13.65,7.6544444444,7,7,10.62,8.55,4,2.5,6.05,9.02,7.16,6.36,7.44,8,7.44,7,7.37,-11.64,9,7.5,,2,9.44,9.44,10.26,,7,10,,,10.37,,5.1,6,,,7,,18.21,7.5,8.8,3.5,7,10.72,2.7,,7.55,,9.5,12.3,,7,9.43,7.5,7.4,6.5,6.5,,4.7,8,7.26,8.94,6.78,2.4546713866,,1,28,0
Tampa Bay,Dallas,-5,-0.9,3.49,-0.25,6.11,-0.467333333,-2,-4,1.98,-6.3,6,2.5,-8.55,-4.51,4.73,-1.46,4.34,1,-0.64,2.1,6.29,10.55,2,-4,,1,-0.9,-0.9,1.27,,-3,-3,,,0.31,,-3.8,-6,,,0.95,,-15.18,-0.38,0.6,-0.7,2,-4.13,-3.4,,-1.58,,4,-1.9,,-7,2.44,-5,3.4,1.4,0.01,,-3,-0.5,-2.5,-0.26,2.16,3.4324119534,,1,21,34
Atlanta,Carolina,6,5.23,4.44,2,6.68,5.7102222222,3,5,9.57,7.2,4,6.75,5.14,4.4,2.39,0.3,2.63,7,7,7.78,7,7,7,6,,-0.5,4.59,5.87,3.78,,6.5,4,,,5.99,,7.9,10,,,7,8.63,-5.32,5.78,8,13.7,3,6,7.8,,5.78,,3,4.3,,13,5.34,11.5,16.7,3.6,5,,2,8,3.99,7.25,4.93,2.9778595798,,2,28,20
Buffalo,Tampa Bay,4.5,5.14,-1.74,1,3.11,2.9808888889,3,6,3.73,4.98,4,3.7,5.33,3.76,1.13,0.02,1.62,2,-3.5,4.49,-4.84,-7,5,4.5,,-1,4.01,6.25,2.99,,4,2,,,3.74,,4.3,6,,,-7,5.41,-7.39,3.74,-2.7,8.5,-1,6.3,10.3,,5.28,,-1,-0.1,,4,2.44,8.5,11.4,-0.1,5.5,,0.2,6,-3.57,-0.22,-4.16,3.2400679161,,2,33,20
Chicago,Pittsburgh,-2.5,-3.12,-1.97,-1,-3.55,-4.551555556,-4,-2,-5.1,-2.49,3,-1.75,-2.31,-6.26,-1.86,-4.23,-0.61,-4,6.91,-4.76,7.15,-7,-9,-2.5,,-1,-4.14,-2.16,-5.42,,-3,-5,,,-3.67,,-3.7,-6,,,7,-9.05,-11.89,-3.55,-7.9,-11.7,-2,-8.9,-11.4,,-3.4,,-3,-2.8,,-9,-10.71,-1.5,3.3,-2.3,1,,-2.4,-6,-10.8,-7.32,-9.54,3.4228436846,,2,17,14
Dallas,N.Y. Giants,3,3.06,-1.26,2,1.56,1.072,0,3,0.84,2.33,-1,2.5,2.25,2.38,-2.2,-3.46,-1.31,1,12.66,2.78,12.45,7,-3,3,,-1,2.71,3.35,0.31,,2.5,1,,,3.01,,2.5,-2,,,7,3.06,2.87,2.26,-2.4,4.2,2,-3.4,1.3,,2.26,,-3,-1.4,,7,-4.33,4.5,6.3,3.5,3.5,,1.8,2,0.02,2.37,3.91,2.5304388768,,2,31,33
Denver,Cleveland,3,9.85,5.42,3,2.43,5.9713333333,6,8,4.31,4.5,3,6.75,-0.44,7.88,5.78,4.29,5.03,6,4.86,6.86,4.13,-7,5,3.5,,3.5,10.4,9.32,6.58,,3,5,,,4.55,,2.1,8,,,-7,7.84,-5.87,5.42,6.7,14.3,6,5.3,9.8,,7.13,,5,1.4,,9,2.72,5.5,9.2,7.2,4,,4,1,11.91,7.04,9.76,2.9434284277,,2,27,6
Detroit,Minnesota,-9.5,-7.09,-14.17,-4,-14.96,-10.02355556,-10,-8,-14.62,-8.63,-7,-1.75,-9.22,-7.31,-6.76,-12.73,-6.12,-11,-6.78,-11.35,-7.37,-7,-14,-9.5,,-5.5,-6.98,-7.25,-11.5,,-9.5,-15,,,-10.04,,-9,-4,,,-7,-13.81,-9.4,-9.22,-13.1,-17.1,-6,-13.7,-11,,-8.08,,-11,-8,,-11,-16.09,-11.5,-5.4,-6.1,-5,,-7.1,-13,-22.31,-11.27,-7.92,4.0477823084,,2,13,27
Green Bay,Cincinnati,8.5,9.9,7.6,8,10.8,9.4017777778,8,11,14.31,9.07,7,6.75,9.38,14.88,11.65,4.46,10.23,10,-2.5,10.17,-3.79,8,12,8.5,,7.5,10.63,9.23,5.84,,9,15,,,9.9,,12,12,,,7,9.98,-1.13,9.9,12.2,12.4,6,10.5,8.4,,7.36,,11,3.8,,4,9.2,14,7.2,11.8,5.5,,4.8,12,3.39,11.25,8.2,2.9735350013,,2,24,31
Jacksonville,Arizona,3,8.5,1.93,5,3.26,1.4811111111,1,2,2.58,0.74,10,2.9,5.04,2.46,0.18,0.08,0.53,-1,6.88,2.57,7.78,7,1,3,,-1.5,7.8,9.34,-1.29,,4.5,-1,,,5.91,,5.1,-3,,,-7,-1.24,-7.66,1.93,1.9,-5.2,3,-0.5,-1.6,,5.82,,-3,-0.8,,-8,3.35,7.5,8.6,-2.5,2.5,,-3,6,-9.41,1.43,0.27,4.1668454507,,2,17,31
Kansas City,Oakland,3,3.96,1.4,1,-0.76,1.3013333333,2,3,-0.36,-0.34,7,2.5,2.36,1.15,2.72,-1.61,2.43,1,6.28,1.26,6.97,6,2,3,,6,4.8,3.3,-1.73,,3,-3,,,-0.2,,3.3,6,,,7,0.51,-6.89,1.26,-0.1,-1.5,1,0.7,0.3,,3.02,,3,-2,,-1,-0.23,1,4.5,3.7,4,,0.5,2,-7.36,0.49,1.35,2.5592164994,,2,10,13
Miami,Indianapolis,-3,-6.83,-0.41,-4,-7.47,-3.445555556,-2,-4,-7.28,-5.6,7,-1.35,-2.34,-6.65,0.89,-4.02,1.49,-3,11.4,-0.93,11.21,11.41,-8,-3,,0.01,-7.28,-6.58,-4.45,,-3,-6,,,-6.93,,-1.1,-7,,,7,-4.15,10.56,-4,-7.1,-2.1,3,-6.7,-8.4,,-7.38,,-2.5,-6,,-2,-4.47,-4.5,8.2,2.3,0.01,,2.2,-1,-3.33,-5.46,-3.64,3.4881334912,,2,23,27
N.Y. Jets,New England,-3.5,-1.07,-1.82,-4,-3.54,-0.129777778,-2,-2,2.96,-1.82,11,3.7,-4.55,-3.59,0.9,-6.36,1.13,-1,12.08,4.59,11.1,7,-4,-3,,1.5,-2.58,0.12,-3.42,,-4.5,2,,,-0.86,,0.1,3,,,7,0.8,8.06,0.01,-1.2,2.4,2,-3.2,-2.5,,-1.4,,-1.5,-5.8,,5,-3.76,0.01,11.3,3.8,0.5,,2,2,-2.83,4.14,5.31,3.4275265989,,2,16,9
Philadelphia,New Orleans,-2,10.97,8.19,5,10.23,6.8982222222,1,7,10.38,-1.59,13,2.5,3.99,-3.22,5.62,4.47,5.01,4,-11.23,10.57,-11.9,7,10,-1,,1,10.22,11.9,8.98,,1,-3,,,10.02,,2.4,3,,,-7,10.26,2.64,5.8,14.4,15.5,5,11.6,12.8,,9.35,,9,2.9,,-2,9.9,7,-10.2,5.8,4.5,,-1,10,13.42,10.24,10.11,4.8616319225,,2,22,48
San Diego,Baltimore,2.5,4.08,-2.08,4,2.3,0.7993333333,1,5,-0.18,3.56,4,2.5,5.62,5.05,0.32,-2.29,0.92,1,-0.83,-0.45,-1.42,-2.65,0.01,2,,0.5,4.9,3.41,-0.76,,3.5,-3,,,1.2,,0.2,-3,,,-7,-2.54,-6.91,0.2,-1.6,-2.6,0.01,-0.9,-0.4,,1.51,,-3,0.9,,9,-2.98,-1,-2.8,2,3,,0.8,-0.5,0.3,-1.34,-2.5,2.7659976007,,2,26,31
San Francisco,Seattle,1,1.9,5.62,0.25,3.73,3.3293333333,3,2,0.82,-0.74,6,2.5,0.41,5.42,5.33,4.43,4.86,2,-12.37,4.8,-12.52,-9,3,1,,6,3.52,0.23,7.41,,1,-1,,,0.71,,0.3,3,,,-3.29,4.79,13.89,2.5,-2,11.7,2,5.2,8.3,,-2.8,,5.5,-0.8,,6,3.58,0.01,-10.6,6.3,1,,0.2,-1,13.92,4.41,8.01,3.4655370829,,2,23,10
Tennessee,Houston,7,10.61,9.56,5,11.92,9.7104444444,6,7,15.08,8.7,10,2.5,3.82,8.09,10.26,7.23,8.63,8,9.45,12.54,8.75,7,14,7.5,,5.5,9.27,12.17,6.83,,7,14,,,10.86,,9.4,10,,,12.74,16.54,6.55,9.4,9.2,16.1,7,14.2,20,,9.27,,11,8.3,,5,10.63,10.5,11.1,9.5,6,,7,14,10.12,10.24,5.4,3.5821171721,,2,31,34
Washington,St. Louis,9.5,12.69,9.81,9,14.61,11.753333333,8,10,19.18,11.01,3,2.5,8.35,7.7,9.58,9.94,8.33,11,-3.42,14.25,-3.85,7,15,9.5,,5,10.98,15.35,11.69,,9.5,11,,,14,,8.2,10,,,-7,17.97,21.59,11,17.3,15.4,11,17.4,18.9,,12.27,,13,13.2,,17,15.41,11.5,2.1,9.6,8,,10,13,13.82,14.38,9.58,3.8477171508,,2,9,7
Arizona,Indianapolis,3,1.82,-0.26,-3,0.64,0.857826087,-1,1,1.01,-0.55,4,1.03,1.96,-4.2,4.54,6.38,3.52,1,6.45,2.59,5.54,-4.75,-2,3,,0.01,-1.35,5.08,-0.02,,0,-4,,,0.59,,-3,6,,1,2.5,3.31,12.31,1,2.6,0.2,3,0.5,4,0.92,-1.72,6,-0.5,4,,3,-7.9,1,1.6,1.4,2.5,,4.4,1,-0.76,-0.76,-2.52,2.8547947294,,3,10,31
Baltimore,Cleveland,13.5,10.86,15.26,8,18.28,15.722391304,13,16,16.7,16.58,7,11,11.99,15.6,21.95,21.43,16.39,10,2.5,18.52,13.53,2.5,22,13.5,,6,11.03,11.52,20.39,,14,15,,,14.6,,12.4,13,,10,2.5,25.16,17.5,15.07,17.2,15.5,14,25.1,30,9.31,15.14,20,19.5,12.4,,16,24.37,16.5,20,14.2,8.5,,14,18,26.01,14.85,12.99,5.2589209644,,3,34,3
Buffalo,New Orleans,-6,-1.76,-2.63,-1,-4.85,-5.060869565,-5,-5,-1,-7.8,-3,-0.55,-12.44,-7.79,-3.11,-11.71,-2.53,-4,-2.5,-4.92,-2.5,-2.5,-7,-6,,-3,-2.88,-1.01,-3.37,,-6,-3,,,-3.48,,-8,-4,,-5,-2.5,-11.15,-15.37,-4,-7.2,-9,-4,-9,-14.9,-1.72,-0.98,1,-4,-4.9,,-11,-7.6,-0.5,-14.8,-4.1,0.01,,-7,-7,-8.06,-2.29,-3.58,3.5373485526,,3,7,27
Cincinnati,Pittsburgh,-3.5,3.27,-10.22,-2,-8.92,-3.334130435,-6,-5,-11.08,-4.45,7,2.5,-6.98,-3.09,4.09,3.59,2.89,-2,1.43,-3.03,1.22,2.26,-12,-3.5,,-4,4.76,1.77,-8.97,,-6,2,,,-3.09,,-7,3,,3,2.5,-8.41,8.34,-2.82,-2.6,1.5,-4,-11,-7.8,0.45,-4.1,2,-11.5,5.5,,-2,-12.16,-1,5.1,-8.4,-1.5,,-2,-5,-5.09,-7.46,-3.84,5.1671176475,,3,23,20
Dallas,Carolina,7.5,10.06,1.82,8,9.07,8.6823913043,5,7,13.29,11.71,3,10.75,3.9,9.08,18.93,12.8,14.55,6,2.5,10.34,2.5,6.73,7,7.5,,5.5,8.64,11.73,5.42,,9.5,14,,,10.35,,6.8,13,,10,2.5,11.64,2.11,9.07,16.8,9.3,5,5.4,8.7,12.73,10.24,5,1.5,11.6,,11,1.03,12.5,14.6,3.8,6.5,,9.4,6,2,9.93,6.58,4.0883966892,,3,21,7
Detroit,Washington,-6.5,-0.55,-11.24,-3,-10.51,-4.874130435,-5,-4,-9.09,-5.4,-7,0.78,-8.54,-5.81,-4.27,-4.15,-0.81,-5,-3.99,-3.53,-4.89,-2.5,-8,-6.5,,-6,-1.53,0.45,-6.13,,-6.5,-6,,,-5.04,,-2.8,3,,-1,-2.5,-3.71,-10.78,-4.58,-7.8,-9.8,-3,-6.2,-3.6,-0.65,-5.31,-4,-6.5,-0.6,,-6,-8.35,-4,5.1,-5.8,-3,,-6.5,-3,-14.8,-5.17,-1.25,3.3977329541,,3,19,14
Houston,Jacksonville,3.5,4.16,6,4,2.87,4.6543478261,4,4,2.72,2.34,-3,2.35,5.54,5.49,5.4,7.77,4.6,3,3.73,5.08,4.21,2.37,4,3.5,,1.5,6.54,1.62,7.83,,4.5,5,,,3.86,,2.1,6,,4,2.5,4.55,1.11,4.21,1.9,10,3,5.8,4.2,-1.52,0.55,6,5,3.9,,10,7.24,3.5,5.9,7.1,3.5,,3.5,7,13.2,6.54,10.37,2.9536423105,,3,24,31
Minnesota,San Francisco,6.5,3.85,7.03,6,7.27,4.6863043478,5,9,0.36,0.98,10,2.5,4.47,-0.34,4.43,4.44,3.24,4,-5.7,2.92,-5.32,0.8,9,6,,2.5,5.81,1.46,4.93,,6.5,4,,,6.11,,3.9,5,,4,-2.5,3.33,17.85,4.48,2.8,-0.5,7,8.2,4.7,4.97,8.35,11,6.5,3.5,,4,6.36,6.5,9.9,4.6,5,,4.5,7,4.58,2.23,4.09,2.3798817512,,3,27,24
N.Y. Jets,Tennessee,2,10.49,-1.29,3,2.43,5.9982608696,1,5,3.96,6.99,8,10.33,4.25,9.91,18.96,12.18,11.84,3,2.5,8.52,2.5,2.5,0.01,2.5,,-0.5,11.69,9.47,1.64,,2,6,,,4.57,,4.9,6,,10,2.5,4.97,3.68,4.94,11.2,12.5,4,-0.5,0.9,7.25,4.47,-3,0.01,15.8,,10,1.36,11.5,13,1.2,3.5,,2.2,6,2.48,6.23,8.5,4.6579658433,,3,24,17
New England,Atlanta,5.5,8.39,2.55,6,0.31,2.5665217391,3,5,1.95,2.1,9,-2.95,7.47,1.4,-9.96,3.26,-3.68,1,-0.44,0.01,-1.15,-2.5,8,5,,2,9.42,7.56,2.88,,5,-7,,,4.41,,-0.9,3,,8,-2.5,-1.92,-8.89,2.71,2.9,0.8,6,6.2,4,-0.16,4.42,1,4.5,11.2,,4,3.25,-1,1.7,1.3,6,,4.5,1,-3.25,0.68,-0.58,4.1919749879,,3,26,10
Oakland,Denver,-2,-5.27,-2.81,-2,-3.66,-2.353695652,-1,1,0.6,-3.39,4,-3.08,-3.66,-4.45,-11.85,-9.89,-5.25,-2,-1.18,-2.41,-1.15,-2.5,0.01,-2,,-3,-6.14,-4.5,2.51,,2.5,-8,,,-3.13,,-4,-5,,-5,2.5,-1.13,-16.7,-3,0.8,-5.1,-3,2.7,4.1,0.3,-3.3,4,-0.5,-9,,-2,3.4,-1,-7.3,-0.3,-1.5,,-1.5,2,1.05,-2.44,-5.48,3.4957493927,,3,3,23
Philadelphia,Kansas City,7,11.91,18.92,10,14.04,12.958043478,9,13,19.17,-1.08,13,8.49,6.92,3.38,11.26,15.86,9.19,7,-0.13,15.5,-1.25,-5.37,19,7.5,,7,12.13,12.13,17.82,,8.5,8,,,14.14,,11,6,,11,-2.5,15.54,10.23,12.13,22.4,14.6,15,20.1,17.4,12.94,11.91,18,19,13.6,,10,16.22,11.5,9.3,13.6,8,,7.5,15,24.57,17.86,16.55,5.0605865359,,3,34,14
San Diego,Miami,4.5,10.24,-0.31,8,4.89,7.3008695652,5,10,8.38,7.78,7,7.29,9.62,6.83,10.51,8.99,7.32,4,13.41,8.59,12.95,-2.5,13,5,,3,10.64,9.95,6.34,,7.5,9,,,7.58,,3.5,4,,10,2.5,8.95,-5.3,7.68,9.1,4.6,5,11.3,11.4,6.37,9.07,12,6,11.9,,7,7.36,5.5,10.2,6,4.5,,6.3,8,6.94,5.93,3.48,2.6905991287,,3,23,13
Seattle,Chicago,-2.5,5.07,-0.18,0.25,0.35,0.4906521739,-1,-1,-4.16,-1.46,7,6.51,-6.55,-3.47,13.82,-2.95,8.05,1,4.21,2.69,4.14,2.5,-1,-2.5,,-2,2.98,7.48,1,,-1,-3,,,1.28,,-3.7,-4,,-5,2.5,-3.37,-8.83,0.3,7.5,4,1,-2.9,-2.8,8.78,-0.42,6,-5,3.7,,-2,-1.34,1.5,10.2,0.7,3,,-0.7,1,-7.17,-3.36,-2.56,4.400987466,,3,19,25
St. Louis,Green Bay,-6.5,-2.59,-6.2,-7,-10.29,-6.278695652,-6,-3,-13.59,-7.98,3,-1.75,-15.26,-6.66,-12.26,-7.49,-10.82,-5,-9.95,-5.53,-8.41,11.35,-9,-6.5,,-6,-2.23,-3.58,-4.75,,-8.5,-14,,,-5.85,,-5.8,-5,,-3,-10.41,-7.78,-4.87,-5.93,-15.2,-1.4,-3,-7.8,-3.9,-4.14,-7.29,-19,-10,-0.6,,-6,-9.21,-4,-5.5,-5.7,-2,,-1,-1,-6.14,-10.54,-7.49,4.0110301302,,3,17,36
Tampa Bay,N.Y. Giants,-6.5,-5.92,-3.34,-4,-6.27,-7.354782609,-5,-7,-9.09,-11.99,3,-6,-9.62,-14.01,-8.94,-11.6,-5.76,-5,-11.69,-8.56,-11.93,-2.5,-9,-6.5,,-4,-8.49,-4.16,-6.66,,-6.5,-9,,,-6.61,,-8.7,-6,,-6,-2.5,-11.54,2.31,-7.57,-9.7,-11,-1,-10,-11.4,-2.15,-6.53,-4,-4,-10.4,,-13,-8.61,-9,-9,-1.8,-2,,-7.5,-11,-12.14,-7.64,-6.19,3.5397681902,,3,0,24
Chicago,Detroit,9.5,7.78,5.42,9,10.74,9.0445652174,9,11,15.78,10.76,3,7.17,11.83,2.15,10.04,11.83,7.84,9,9.51,9.19,9.52,-12.87,15,9.5,,9.5,5.43,10.38,13.65,,12,8,,2.91,10.93,,8.3,9,,7,-2.71,13.2,2.44,9.34,2.8,9.6,9,6.11,13.5,,10.79,17,5.5,6.6,,8,1.94,10,9.9,4.6,9,,12.84,7.4,16.93,13.13,10.48,3.5489652367,,4,48,24
Cleveland,Cincinnati,-6,-2.4,-11.02,-3,-7,-7.17673913,-4,-4,-5.93,-12.15,-4,-4.27,-8.77,-9.41,-11.01,-15.44,-8.79,-7,-13.58,-6.17,-13.17,-2.5,-4,-6,,0.01,-0.36,-5.53,-4.82,,-4,-15,,-13.59,-5.07,,-6.7,-11,,-6,-1.75,-11.09,-17.77,-6.85,-14.6,-6.2,-2,-13.33,-12.5,,-5.11,-14,-4,-1.2,,-9,-20.51,-3.5,-12.5,0.3,-2.5,,-4.36,-10.3,-12.1,-4.55,-3.16,4.7237565345,,4,20,23
Denver,Dallas,-2.5,8.87,10.3,1,-0.57,3.3489130435,-3,0.01,-1.75,3.09,-10,4,-9.8,-0.36,10.36,10.79,10.76,2,7.31,6.33,6.67,2.5,-1,-1.5,,-4,10.43,7.25,3.21,,-3,7,,10.91,0.4,,-0.1,5,,7,3.66,-0.1,0.63,3.26,10.7,6.1,1,8.44,2.4,,-0.09,-10,3,10.9,,-4,11.71,6,15.4,3.3,2,,4.54,7.1,-1.95,0.04,1.83,5.3936840546,,4,17,10
Houston,Oakland,8.5,3.61,1.93,6,6.39,4.3019565217,6,7,6.97,2.32,10,0.94,2.56,1.07,5.53,2.09,3.74,4,5.39,3.86,5.63,2.5,8,7.5,,8,2.6,4.97,5.94,,9.5,4,,-1.89,6.91,,4,3,,11,5.41,4.24,-1.9,4,0.3,2.5,8,2,6.3,,5.46,2,4,2.9,,4,-2.84,3,0.3,-0.2,5,,4.86,2.7,5.95,9.05,11.13,2.8796123347,,4,29,6
